,text
2027,"cup tea . might funni whatev teen era , ."
2028,"'s violent , husband like . think far fetch ."
2029,saw dvd -- -- show past music video mean distribut n't revamp video look old there crisp sharp look video
2030,"among indiana jone movi , one bit lame , stori line act , everyth look like fake ( meant know act exagger action sequenc ) ."
2031,"bought caus cheap realli enjoy , alright stori great 80 90 action film"
2032,indiana jone movi good mani year sinc saw one . good choic .
2033,"excel depict must like soldier ww2 . superb act , visual effect sound effect . highli recommend ."
2034,"like marilyn movi , good one . 's gentlemen prefer blond 's busi like show busi , 's moment ."
2035,"expect spinoff excel . love lewi relat oxford detect seri . watch see , bit watered-down . thing improv time , suppos ."
2036,flick pain watch . attempt comedi work . music ok .
2037,'s need v e r n c e p r u c
2038,"differ . futurist , scienc . sad possibl realiti . clever handl thing . sad reason diddid ."
2039,husband said excel job blu-ray transfer . fun movi still hold .
2040,great movi star arnold schwarzennegg woth get dvd enjoy watch &
2041,"watch televis , get dvd watch without commerci . love movi , wife almost recit script memori ."
2042,"good grief . 've never disappoint stewart otherwis love . despit all-star actor , script lame got bore ."
2043,`` pretti pink '' nerd .... boy grow hotti movi .... ? ? ?
2044,lilo stitch2 : stich glich - great famili film age approv - lol - good first 3rd cute cute cute
2045,fan director cut . like voice-ov seem miss version
2046,"mani great movi releas dvd boggl mind . movi , move , hilari . rememb laugh way hope come dvd soon ."
2047,movi terribl origin use theme overus past . act mediocr .
2048,"move movi jesu . pictur vh wrinkl tape , replac tape ."
2049,movi great came still great movi . love movi . inspir . still watch lot . great movi reciev fast .
2050,"may favorit perform johnni depp . close second would edward scissorhand , role differ 's difficult compar . terri gilliam master director !"
2051,one think film true spoof . although comic let 's say `` get smart '' jame bond . spoof like silli .
2052,simpl romant nice perform deborah kerr cari grant 's usual smooth mellow persona .
2053,"benni , perenni year-old , one best era , time chang style comedi date . particularli funni anymor . 's still best deadpan , howev ."
2054,"one favorit movi . want ( ladi ) friend ! watch movi mani time , alreadi . amazon deliv fast"
2055,dustin hoffman great actor languag got bore . potenti funni ; underli good life lesson . bore profan . lazi write .
2056,n't surpris nuditi orgi ; stori caligula .. ; ) got add bunch word make program accept rate
2057,love movi look along time jane alexand give move perform exclud anyon act awesom movi cut heart
2058,annett bene dramat gift kevin spacey top star cast movi keep rivet open scene end ! must see !
2059,alway love movi child . realli well made suspens old movi . good see .
2060,"probabl one best anim scooby-doo movi voic act good well , mathew lilard probabl best shaggi around . grew watch scooby-doo famili enjoy movi lot ."
2061,entertain true origin seri . best movi year worth view fun .
2062,girl love stori never trier watch . & purchas . & still love .
2063,"n't seen movi long time , recent decid purchas . show perfect condit still origin packag . love movi"
2064,think movi great love movi much brought lost copi anyway love movi chain
2065,"old excel adventur movi hilari situat top notch act dougla , turner devito ."
2066,"'ve alway love movi . alreadi dvd , bought blu-ray tangl ever short . qualiti pretti good consid old movi . definit timeless classic ."
2067,"sweet , poignant stori surpris twist end . nice stori friendship -- good older children ( 10-12 ) ."
2068,stori wonder rendit timeless tale . act marvel stori delight revisit everi christma season .
2069,'s jason movi ... everyth anticip . biggest downfal jare padalecki take shirt . standard slasher flick .
2070,act dialogu aw . charact stilt plastic .. plot practic non-exist . n't wast time one .
2071,"sound qualiti poor , movi seem realli date . younger member group equat austin power . watch less minut ."
2072,driver thought top .. girlfriend love .
2073,younger kid might get confus lost due 's bizarr stori line . adult like cocktail ...........
2074,"film enjoy great ! usual man kill wife plot , case wive . engross , see end"
2075,someth . anoth review gave good warn first minut miss . 'll watch . probabl put parish librari . thank amazon .
2076,"one best movi , one # fan fist case truli unlock 're child insid . must see ."
2077,"nice movi sweet judi garland ! ! ! ! ! one best actress ever ! ! ! ! ! like sing , 's cute ! ! ! ! !"
2078,"fairli good western , rourk 'bronson ' like , unemot . note one bad guy ted levin , `` silenc lamb '' fame , actual play better role film ."
2079,"averag western . one dick powel made . good cast , burl ive sing , tape good condit ."
2080,"obvious differ version movi . one receiv would n't earn pg-13 rate theater . wast money , toss . live learn ."
2081,word next kin ask one reason mani peopl look far
2082,found movi one richard 's best . kim 's roll also one best . plot uniqu well done . good action drama .
2083,great act excel storylin charact develop . think would respond involv combat ?
2084,"tast ; either rivet incred bore . make sens , appear 's filmmak want . ....."
2085,"rave , actor realli c- , bad list actor thji movi . even porn substandard . sorri bought , expect better around ."
2086,"love movi kid . tri get year old daughter watch , n't interest . littl corni watch adult . oh well , tri ."
2087,"good laugh , expect much movi ...."
2088,"good movi , like charact especi watch recent deceas robin william , talent ! , though n't new movi , still enjoy watch . actual , gave littl nostalg feel ."
2089,"one favorit film chilhood . mom love movi . vh n't work anymor ,"
2090,best movi van damm ever made.th bluray must fan film .
2091,"dread transfer dvd video . shame ! even widescreen . clear mud . one kind romant film great perform sarah mile , richard chamberlain , laurenc olivi margaret leighton . ca n't anyon help ?"
2092,"love movi , n't seen year . watch daughter weekend . timeless classic ."
2093,last two film hitchcock also underr . 'famili plot ' joy watch 'frenzi ' . well act master tie web suspens .
2094,"good movi , great movi . indiana jone .. alon give + star ! watch point ."
2095,"mayb 's time five-star movi , 's still entertain worth watch . contain romanc , mysteri , suspens comedi one !"
2096,arnold schwarzenegg great job film.it 's cool sci-fi film.it 's held real well.on schwarzenegg 's best.th effect still tight .
2097,bit tiresom .. bad boy steal thing .. bright . dad teach boy steal ... bad boy get troubl . imagin .
2098,absolut worst movi ever watch ... clue receiv award unless polit involv get movi made !
2099,love movi actor . pair well togeth . alway odd coupl . inspir watch .
2100,realli would like buy movi like oliv releas movi - n't subtitl hard/deaf hear foreign speak peopl . big shame 21th centuri
2101,"woodi , bill , randi , chri , vanessa . made movi watch . farrelli . direct , wrote ."
2102,problem cd . cinderella wear silver dress blue dress . rest video spot . n't know reason video say disney .
2103,"one jcvd 's best . could n't rent netflix amazon , bought outright ."
2104,"nice earli jane powel music . good cast `` delight watch . could enjoy print restor . great , fun ."
2105,watch movi love jane curtain . what call stoner movi . parti dude .
2106,good movi background 're someth els . would n't bother dedic % attent .
2107,"love doubl featur , rememb flip disc movi , first thought got scam 's doubl side disc"
2108,"unfortun disappoint . luke warm dishwat televis show . save time money , rent televis version"
2109,"* epic , imagin film . love watch creativ inspir . cinematographi best part . <"
2110,movi stop go breakfast long talk entir famili . realli end . fail get happi end .
2111,sure help adjunct -- mayb littl bias . hoover inde suck .
2112,titl avail warner archiv site directli $ 19.95 . pay ?
2113,"need fill spare time , watch . otherwis , skip one"
2114,"oldi goodi . one littl movi '' '' star made . his/her acclaim , one truli entertain indic talent perform director . worth time ."
2115,"great write , wonder stori tremend act around . ca n't beat one enjoy ."
2116,hate see seri end ! fun watch . look actress someth els watch .
2117,excel movi . richli depict tragic ambival mani artist devot profession call normal live .
2118,like addit scenes/stori line includ book . ad depth stori .
2119,"movi old bruce willi moonlight . 's lightheart funni film , good one grey day ."
2120,plenti action pretti good dialogu . denzel way keep edg .
2121,"sweet dream releas . great biographi star jessica lang patsi cline . sweet dream titl one hit . fan patsi cline , jessica lang like ."
2122,love book record . sound n't clear actor sound phoney
2123,n't especi enjoy movi . sad relationship famili unfortun .
2124,"movi good well written , lot nuditi foul play , worth watch !"
2125,grandson love littl rascal spend hour look
2126,"cool , yeah mayb academi award winner still fun watch raini night night matter ."
2127,"realiz peopl love film . found bore . mayb 's guy flick . , great sleep induc ."
2128,good movi . kind low budget noth inspir . would watch one time n't one got see mani time kind movi .
2129,movi wife want along time - funki unusu -
2130,"forgot stori like teenag look immatur . kid relat ? stupid adult , smart children . natur . best part movi ducki 's danc ."
2131,"know movi bunch kid drug , serious , 's awesom movi , long n't 're heart set plot ."
2132,"alfr hitchcock deserv call legend , ,i disc set boxset 't well done collect : )"
2133,"challeng , imposs choreographi , great music , good cu . good dvd keep workout rotat ."
2134,end littl differ rememb . might part differ theatric releas `` final cut . ''
2135,"video qualiti good first four season , outweigh final entir seri home ."
2136,still classic opinion . alway one favorit post apocalypt movi .
2137,"differ spin brook ... one best buy , sure beat chair . mani case ... definit fars hitchcock >"
2138,funni - kid - descript drug refer ! sent back 's mad peopl drug - funni adult humor !
2139,'ve watch movi lot past holiday ... color classic ... great job . prompt servic deliveri great price .
2140,love classic movi . highli recommend . requir read high school freshman . get watch movi afterward special treat .
2141,good movi good laugh cheer need lift.good compani chore .
2142,soundtrack play music voic track ! order second copi n't play voic track well ... bewar !
2143,"anywher funni would expect two . satir belli laugh , kind like `` histori world '' . certainli class `` blaze saddl '' , `` spacebal '' , `` young frankenstein '' , `` nake gun '' seri . disappoint ."
2144,movi well done . cup tea . mob movi set earli 's . act great !
2145,realli like movi . watch lot time good first time saw . blu-ray even better . great price
2146,"wonder , sweet . one julia robert best . hugh grant great also . love movi ."
2147,"first time saw , hate . howev , repeat view friend , 've come see appeal . plu 's sourc quit meme ."
2148,found bore terribl funni . histor redford 's best still butch cassidi sundanc kid .
2149,movi pretti cool vivien make marvel ! hey dvd peopl ! movi get releas dvd uk usa ? would like movi dvd collect !
2150,"interesting- gear video game gener , think- pretti much come age bond movi ."
2151,n't make like use . sure good bad - enjoy flick regardless .
2152,one funniest movi 've ever seen . hope special edit come soon . good chanc becom popular .
2153,"coupl friend nearli lost told never seen movi , decid check . n't impress ."
2154,heard year movi truli good qualiti impress .
2155,"horribl movi ! believ matt damon . element toler , rest pure garbag ."
2156,de niro alway fun watch . stori break mani unrealist car chase . .
2157,"love movi glad dvd , great watch see movi . wish main menu instead go right movi ."
2158,movi still great year . plot line thought provok still relev . demi moor great . enjoy show teenag daughter appreci much alway .
2159,simpli love lilo stitch . ca n't get enough . love sequel tv show .
2160,enjoy watch movi comfort live room . eye glu televis . pack action begin end . end satisfi .
2161,wife want watch origin movi prior view sequel result watch sequel . plot charact seem one dimension bottom line like movi .
2162,"disappoint rip-off vaughn bode 's charact . even anim low-level , done better crayon , opinion ."
2163,excel movi . lori singer 's need act lesson prior film julian sand perfect warlock !
2164,great movi . also funni . hard time find . abl watch want .
2165,"saw releas close encount third kind , lucki enough see theatr . see , 'll never forget . 's time special effect awesom ."
2166,great comedi ! also good combin actor actress . movi plan watch .
2167,good movi special forc soldier antagon declar man war small town . lot action .
2168,"care movi . seem someth lack , sure . usual like thing angela lansburi ."
2169,fun movi would done remak n't . arnold big issu watch movi look wrong one : )
2170,entertain . especi young kevin spacey look like 's wear eye shadow deni leari mid-90 's comedi rif mode . judi davi nice job well .
2171,good ! like . good ! like . silli rule : must write mani word ! ! ! !
2172,"even though movi lot award , think clint eastwood worst . threw away watch one third . rude , crude nasti . n't wast money time ."
2173,one total awesom movi ! ! ! bruce alway best martial artist ever seen ! ! ! love stori movi told : - )
2174,excel movie- upgrad dvd . sound impress . visual effect could littl better- mainli jet dogfight scene .
2175,tell older movi . bad movi ... use higher definit better film .
2176,"good expect , still brought back memori famili theater tv ."
2177,"hubbi like , teen thought bit slow , silli . second fletch ( far know ) thought , silli , slow ."
2178,"like good , decent , family-ori dvd 's , one buy , keep share ! dori , actor great job ! sorri view last episod !"
2179,"love old movi , one annoy . finish watch see movi turn good ."
2180,dvd work return . second time receiv defect dvd .
2181,find bluray restor . dvd found one public domain vh transfer intoler graini . otherwis fliesher anim prime n't superman .
2182,"titl mislead ( actor 's fault , cast task ) battl larg scope cover without distort work pure fiction ."
2183,one favorit time movi ! bring everi famili relat emot experienc .
2184,"definit classic . definit children 's movi . amaz muppet henson & interest twist toward end . mediocr act , mediocr charact develop ."
2185,"scari saw theater . still good pictur , came great ."
2186,"corni . shame duval real good actor , ."
2187,"love movi , dvd clean free usual older transfer problem . music understand , pop hiss ."
2188,horror movi differ kind littl hard follow time . ye know 're suppos think much horror movi . ca n't help though .
2189,paul newman prime . raci scene prevent anyon younger watch . definit must-se .
2190,"entertain . could spent hour someth better .. oh , wait , watach prepar dinner okay lazi saturday even ."
2191,purchas husband sinc pass . n't care scifi
2192,first lilo better.but like everyth els watch first one 'll want watch # .
2193,"suppos blu ray disc . grant movi came 's upgrad old movi hard cmon , couldv done much better job . movi fun though ."
2194,interest . 's one time movi . good enough want watch way .
2195,matter often see movi still end cri babi . susan sarandon julia robert make movi go top ... littl boy help bring mani laugh especi screen wonder .
2196,"futur leader world best ; rape , kill , steal drug , anyth get educ job , glorifi movi . bad chosen lifestyl million countri ."
2197,first time watch flick .... fun like jason london better work .
2198,"reason entertain - probabl worth price rent film - friend recommend , felt like veg movi ."
2199,2nd best star trek movi star trek iv voyag home . see ricardo montalban play kahn awesom .
2200,bought dvd replac old worn vh copi . funni need laugh .
2201,"like conneri 's charact much disappoint die , hey movi great sci-fi fantasi . enjoy . origin . `` one . ''"
2202,greg play attorney one . surpris hanoi jane said prick attorney prick
2203,ive alway like corni movi price blue-ray cant beat . go arnold .
2204,"daughter like video ... n't favorit ( prefer grover ) , enjoy watch - poster complain bunni rude - short temper , 's humor offens ( opinion ) ..."
2205,good bad view ship sea . actual footag obviou model . good stori line well known actor .
2206,wonder movi . realist . touch moment well sad one . held attent entir time . definit recommend .
2207,"niec love movi bought , happi , someth watch famili ."
2208,"nice intro rees witherspoon . rather slow , develop stori plot . sam waterson seem comfort zone ."
2209,fantast got involv movi grand daughter read hs english class . enjoy act stori develop sorri racial relat n't improv much .
2210,"lot sex scene suggest long convers , darn fli never show young girl play romanc emot faint scene fli appear"
2211,"okay . n't find chemistri two main charact . howev , stori jane austen beauti ."
2212,fun watch old black white movi . sure movi intend appeal soldier return home world war ii .
2213,"great . love alan rickman made movi crazi sheriff . crack ! cours , morgan freeman alway super ."
2214,better half star war seri . version version insert hayden end return jedi
2215,person think one lame movi ever ?
2216,give three star 's american blu-ray disc set 's import wo n't work soni blu-ray player suck like see blu-ray due come .
2217,famili classic henri winkler make great . would make great gift famili friend .
2218,"film good dvd pack well enough ship due flimsi eko case , result dvd slightli scratch"
2219,photographi stun mean film escap mean ?
2220,'s african queen open rang . john wayn katherin hepburn great opposit compliment well profound humor way . lot wisdom found dialogu .
2221,wish origin version instead meddl crap version georg luca .
2222,"n't read book , movi good , humor moment romant moment . 's good famili movi interest plot -- one favorit 's fun !"
2223,"book ok , would recommend great read . still decid fact ."
2224,product expect use purpos
2225,"good movi 's time . hg model , last shot show new world landscap look like cartoon draw ."
2226,"like good old bond flick except without drink , gun , women , gadget . hey , least threw bunch crappi joke ."
2227,one best scroog movi . henri winkler outdo . cast excel music theme old relev .
2228,"movi good movi , play well , plain jewel case , label anyth ."
2229,"normal like romant period piec . mari osmond heroin movi - best actress . could endur movi ten minut , final gave wait improv ."
2230,"movi bit fuzzi . daughter sure like music , somewhat , becam realli bore shortli ."
2231,mimi roger n't show enough . lol . . . . . .. . . . . . .
2232,"favorit jame bond movi . much ha ha , could almost classifi sitcom movi ."
2233,"mani differ version movi time got , n't interest"
2234,"like program give paus think issu , despit somewhat corni plot . make one reflect human natur ."
2235,excel rememb . eighti could stori focus around detent make work .
2236,great film . great act . great dialogu . even better john steinbeck wrote short stori .
2237,great tale moral struggl good evil find side law .
2238,thought would base histor fact . still watch though ok
2239,american beauti destin classic sinc movi start end . eighth hanki event mr. steven speilberg busi import direct one .
2240,love kevin costner movi . whitney 's perform adequ spectacular . theme song alway love tug heart .
2241,actual realli funni movi . pleasantli surpris . realli enjoy one . two thumb .
2242,watch mani time . actual n't watch rent . movi degre artist licenc . luc besson incred . viva la franc ! kid anyon abhor violenc .
2243,cute light . could curl front fireplac make sweeti watch without worri miss much .
2244,"harrison ford great job act , plot unrealist , predict ridicul ."
2245,"like phil collin ? , see movi , , go see movi . much write amaz movi , go see buy !"
2246,ca n't give five star audac remov `` love gone '' . option skip think bore take option view away like ?
2247,light happen last year thought would interest see 's take thing . good .
2248,"one favorit christma movi , husband love . bought . think one movi either love hate ."
2249,bore . n't find funni poor qualiti . kept freez eventu quit . return refund .
2250,"angela lansburi strong role ms. marpl , rather unsatisfi , okay . big star ( elizabeth taylor , kim novak ) overact perhap script problem ."
2251,"bad , good film . worst special effect around , bring back great memori youth ."
2252,shame maker blue ray dvd . would dare releas lousi copi excel western
2253,anim ... bore ! n't much els say . except storylin horribl interest charact .
2254,well done like movi develop slowli . actor great job direct love care .
2255,mila victim well oppressor . skill seem ever evolv stori line well conceiv .
2256,"love movi , audio qualiti terribl . get enough volum ."
2257,movi famili watch . like lot happi see movi like come . would tell anyon get -- 's good .
2258,read mysteri shemitah .... jonathan cahn ( harbing ) read . blood moon small portion realli go .
2259,newer one daughter realli enjoy watch sever time sinc purchas .
2260,one star laugh . think one everi twenti minut 'm gener .
2261,charact interest . best view comedi . curs lot f-word .
2262,"enjoy schlocki ( tell film n't employ evolutionari biologist ... haha ) . decent job deliv tens moment , although plot blatantli obviou sophist time ."
2263,n't patienc -- first minut watch thief / crook -- bore scene - fastforward n't get better
2264,"show 's visual qualiti poor , soound weak , kept reload . turn disgust . never"
2265,"favorit , well book ; given christma gift year !"
2266,wonder arab side get 1/10 posit exposur israel get west . arab lack hero isra numer comparison ? congenit coward ?
2267,book terrif film n't justic . film 's soundtrack difficult hear .
2268,like classic slasher flick . good movi littl cheesi time mean 's go oscar still worth watch like type movi .
2269,ad cd collect movi . origin count mont cristo complet collect
2270,pretti good time . dad 's would chanc !
2271,grandkid love movi . watch sever time sinc came . typic mari kate-ashley product .
2272,two-disc set fine addit home video librari . watch film everi year holiday ; 's tradit ! addit materi gave new insight old favorit .
2273,"may emot power movi came , somewhat anti-climact overli melodramat ."
2274,"satisfi qualiti product , expeci age movi digit remast . ran perfect dvd player ."
2275,"great origin stori idea , suck realli bad . want like crappi ."
2276,"forgot enjoy movi , watch , mayb top list one best vampir movi made"
2277,"got spook home alon darken home theatr . turn small light , lol . good insight hypnosi possibl effect ."
2278,"one favorit movi . rip edward herrmann ( play franklin roosevelt ) pass away wednesday , decemb , ."
2279,"n't film 4:3 aspect ratio ? buy blueray ? 've never heard good argument buy pre-sixti film 4:3 16:9 capabl media . anybodi , bueller , bueller ?"
2280,ok mid fifti 's comedi . alway like betti hutton purpos buy video .
2281,"timeless mani way . everyon watch film old young . john hugh realli nail classic , great stori great cast young talent ."
2282,look certain hallmark movi could n't rememb name . order one 's one want . 's excit movi .
2283,love movi . hate amazon format cant see purchas .
2284,"stupid go , 'm stuck garbag imprint mind sorri purchas made angri oh god ?"
2285,'s good movi anyon hackman play role father doubt would like much .
2286,"robert duval fan , like movi . alright , greatest movi 's ."
2287,"funni bit also bit sad . excel cast , beauti costum , littl slow part ."
2288,"great movi , love bunch . purchas gift . arriv quicker expect well packag protect ."
2289,movi `` classic '' expect movi hold reason well . . appear date believ . although classic scene must seen .
2290,"realli n't know make movi ; , gave . simlpi fact , interest see matt damon play dark role ."
2291,"like . melodramat , well act . stori line interest , sander alway good . surpris 've never seen heard one ."
2292,love movi scrach dvd stop . stori line video outstand relat well .
2293,stori act good . lot action . surpris . enjoy .
2294,"simpl movi littl interest . yet , bore reason . okay airlin trip download ( watch fli ) hour kill ."
2295,glad final find film thank amazon.thi one best michael mann film made
2296,astound captiv watch movi . everi one know stori - put cocteau 's rendit pure art .
2297,watch movi week sick thought mayb two good artist keep entertain movi made tire .
2298,"funni feminist movi , back femin real . dabney coleman good sport abus heap charact . lol"
2299,"interest , bit histori unawar . sure accur , know . turbul time"
2300,typic wwii motiv movi home front war struggl british flavor
2301,"never get old one . well classic , bring back memori young . awesom movi enjoy today . good find amazon ."
2302,"classic al . like slapstick absurd humor , 'll love . michael richard great pre- seinfeld role . realli love mop ."
2303,"love anni , watch kid enjoy watch children ."
2304,"miss movi hbo , glad possess amazon ! cheadl inspir actor !"
2305,"larg cast could make movi fli , seem drag along . script work could better overal movi enjoy . mayb expect much ?"
2306,"wild movi w/ lot action , thought action ( car chase scene ) littl outrag cop total inept stop anyth ! moder entertain ."
2307,"love arnold , love action , love cheesi one-lin , alreadi know love movi well"
2308,"anoth one worst/best movi . stori act aw , bad actual quit fun watch ."
2309,fan origin recent watch year old daughter friend . love gave differ perspect `` back day '' . good fun good convers .
2310,"gag dri dumb . compar blaze saddl , tight seem written group preschool . wait wait laugh end still wait"
2311,"sensit portray almost tension perhap know address relationship bare dealt time break much new ground even tent honestli , part thoroughli ."
2312,"plot unbeliev could get mind watch . act good product valu great , movi would think ."
2313,could see movi . kept stop constantli point got fed log . disappoint .
2314,"no-no . apart sketch laundri , tape simpli funni . minigolf sketch contain one joke ... repeat time , hospit queen 's guard sketch mediocr . goodby , mr bean ."
2315,25th anniversari delux edit dvd ok one blu-ray . sayin .....
2316,old favorit john wayn movi mine rare seen tv . film realli great cast .
2317,"slow , wast opportun , expect better actor . tombston much better version stori . see form opinion !"
2318,modern `` fair ladi '' ! michael cain never disappoint . enjoy fan harsher languag use .
2319,movi great . order 'm huge johnni depp fan . still bad either . would recommend collect johnni 's movi though . howev base true stori . children .
2320,like clowney movi great cast bore would watch add collect
2321,"sure true life movi dramat short life great voic , mani young peopl lost soon ."
2322,noth say got collect noth els say dvd replac vh tape
2323,bit slow starter . charact great . enjoy stori line .
2324,"good stori , great locat shot , decent act . focu movi loss western frontier simpler time , make sens ."
2325,bore compar wee sing wee sing sillyvil . go buy wee sing video buy differ one .
2326,"one favorit movi teenag ! son high school , requir book read . classic add shelv movi !"
2327,"'ve like movi watch , knew expect . video qualiti good stream good night movi watch ."
2328,film clueless pictur make . script weak technic credit -- . worth time .
2329,nobodi one soviet oblast time mock bird american phraseolog . artist formerli known madonna new book pornographi call sex ! ! ! ! ! !
2330,meh . big star interest stori crazi skipper chafe imhuman stuck small freighter sidelin war pacif . famili friendli flick .
2331,"anoth sequel terribl . follow one entertain , success well done movi 's .... 's one , `` crap '' ."
2332,repeat `` titl '' function avail case alot blu ray dvd . opinion user conveni aspect releas .
2333,"kind annoy , got gist . would n't care never watch ."
2334,classic ! two year old love sing along movi . definit need ff part n't want hear see .
2335,good si-fi movi peopl loke kind movi
2336,well expect mayb mood julia sappi movi .
2337,"pick movi said colin firth . howev , version colin firth . complet differ one ."
2338,"actual realli enjoy movi , start slow dumb , build cool climax full gore nice special effect . worth look silli top horror flick ."
2339,"movi like 'earth ' without 'art ' , 'eh ' . n't care - kind humor ."
2340,"one movi made want get leav movi theater ! regret pay hard earn money see badli put , predict , bore plot ."
2341,ca n't say ever talk . charli brown household fixtur hous one add collect .
2342,dvd 's dark imposs see enjoy . pleas buy product . disappoint .
2343,classic oldi goodi . wholesom . great famili movi - mix live anim .
2344,read book disappoint dvd good .
2345,forgotten visual part `` film '' thing modern audienc understand . still classic must see .
2346,"solid perfom . concept stretch bit thin becam convolut point overal , enjoy movi ."
2347,"probabl good time , soundtrack cgi super outdat . stori okay ."
2348,flick realli fun time unlik disney make film posses alien eeri tone . look forward dvd
2349,"fair film . good perform fay dunaway brenda vacarro . otherwis , good `` hero '' film ."
2350,worst movi 've ever seen . right bottom gagng new york .
2351,"would realli like read book movi base , heard book good . movi ."
2352,"see came -- -if miss , watch , great movi ."
2353,cute - say bit date younger folk .
2354,"interest point , mostli involv earli life difficulti women , mostli drag . robert downey jr. poor choic play chaplin 's role ."
2355,"three young women , littl bit love kind like experienc , stori , one lead happi end , overal , averag good movi ."
2356,crap . like c-rate comic book stori . much distract `` silli '' pander sexual stupid . could genuin `` action-comedi '' includ genuin act .
2357,"tire hollywood push gay agenda ... wire movi , far could tell , redeem valu point plot ."
2358,"older spaghetti western way better . all-star cast nice , movi raunchi gritti . much depth eastwood charact movi good actor ."
2359,"sound qualiti terribl . hostess speak appear seem microphon , rather talk toward microphon across room .. found intoler ."
2360,silli stupid ; act best . could n't even finish watch . fond woodi harrelson great actor either . hate .
2361,one best romant movi 've ever seen . 's pretti good basebal flick !
2362,one belong movi librari everi proclaim movi historian aficionado . saw movi first came enjoy almost much five decad later !
2363,"dumber 'd even imagin , horror collect 200+ mean add , otherwis move along"
2364,"fun guy , hold today 's special effect . saw first love ! thing held test time mr. conneri !"
2365,good bad somewher . good see tupac shakur act movi . bad someth watch .
2366,"n't love helen hay ? ? ? bett davi deliv fine , though limit , perform , well . good mysteri - surpris whodunit ."
2367,come find dvd play . `` intern '' dvd player order view . order anyth els movi wise countri .
2368,great movi fall sleep . knock like t.k.o . ten minuet flat . 's real champ !
2369,pacino 's perform carri movi . fantast ! rest act leav littl desir . good tell age true stori . worth watch .
2370,"purchas movi niec , love movi . tri watch movi gave error messag say could watch area . disappoint ."
2371,love movi love romanc good girl win . get girl togeth sappi movi .
2372,"best cross anim love stori new york . ami adam 's dream come true , qualifi actress singer , enchant love stori"
2373,disjoint interest stori . wast great actor actress money . oscar think ? ? ? ?
2374,"actual , bought terrif dvd husband . old dvd wore due mani , mani time watch . , truli great movi . give star ."
2375,"cute program , good messag regard differ peopl 's celebr christma holiday ."
2376,"wow ! blast past . nolt call murphi everi derogatori name book . would never releas movi today kind languag . still , hilari fast pace film ."
2377,mom love watch anni grow want got today love watch laugh enjoy anni much thank
2378,well patrick swayz keanu reev movi surfer rob bank sky dive . idea els say movi . ai n't ai n't .
2379,day almost spfx . classic disast flick end world . nice .
2380,copi freez stop respond input tri play first cut . tri clean still n't work .
2381,"confus , pretenti , self-indulg , engag bore altern , thought-provok shallow do-your-own-th sort way , wast time except o'tool fan . much movi , better wors ."
2382,n't even watch film way . seem rabbit trail someon 's imagin without central intent . rambl nonsens .
2383,one favorit movi . great stori mirror actual famili would go iin situat .
2384,"movi good condit . care movi . johnson talk dog main charact , post apocalypt world search food sex . good movi ."
2385,"great intertain mother , lot laugh watch never get tire watch ."
2386,"great movi , thing though tri make feel bad scum bag drug dealer . n't let fool , broke law"
2387,confess watch year given mel brook lesli nielsen bs instead usual a+ . watch time ? yepper !
2388,remak better . could n't even finish watch movi . peopl realli talk like ? pain watch small portion watch .
2389,"worth watch . either love hate keanu , happen enjoy . 's pretti great . al great , cours . cool twist old effect hold pretti well ."
2390,n't think movi suspens hitchcock movi bit disappoint . kept attent enough though finish watch .
2391,"'ice castl ' stop movi sever obscen word explos sever obscen misus word 'god ' . writeup sound nice lure us , nowher see obscen list product rate pg ."
2392,favorit movi watch everyday . bring warm feel see coupl make odd .
2393,expand version dvd `` ambit mean '' . contain movi along extra interview . total new dvd .
2394,dario argento 's magnific horror film strang goings-on world-fam ballet school . argento add ton style atmospher marvel logic-defi tale terror . definit faint-heart weak stomach !
2395,great movi ... mani good memori '80 . . better book version . . good addit collect .
2396,"movi use , age done good special effect ... even though know actor insid rubber costum ."
2397,movi stinks.th french serious know make movi . go movi would total wast time.junk !
2398,someth wrong program one manufactur . kept repeat never ever got end . glitch kept happen . frustrat . peed big time even .
2399,watch first came n't seen sinc . rutger hauer quit hitler youth found quit attract . daddi issu wo n't go .
2400,wish type famili valu christma movi made today . trulli classic love anyon wach .
2401,movi made technolog bad . movi made centuri better stori line better technolog .
2402,"qualiti color poor , decid watch . orang pale ."
2403,"bore ! 'll save watch movi - rich white peopl encount problem , sappi ensu , prevail end . zzzzz ... jj abram got better experi , skip one ."
2404,"n't good thought would . slow start , end seem though suppos sequel michael cain ."
2405,realli stori line jack lemmon usual . thought start slow . expect .
2406,comedi cast dan a. eddi m. give movi instant classic . also setup trade place come america conclus two brother . watch movi classic .
2407,love movi ! kathi bate jennif jason leigh best . bought stephen king video never disappoint . : )
2408,well certainli pair remark well written although other done well also 3stoog top eyelid gag agatha aproach superioti apar languag ... shdfh ...
2409,"film typic movi made 's , pace slow charact two dimension . subject cover broke ground time 's pretti tame today 's standard ."
2410,"love movi ! almost feel like 're back hawai ' . soundtrack good , classic elvi ."
2411,"bought present son , n't seen yet ...... , realli love , read book , recommend mani friend ! ca n't wait see !"
2412,great low budget haunt hous thriller . warn dvd-r. qualiti transfer bad realli n't u. releas good get .
2413,"like commando codi serial , think king rocket men best ."
2414,"year movi actor , director , writer rememb ."
2415,movi classic hous ! ! bought daughter birthday . enjoy watch movi ! funni !
